2026-02-12 11:27:51,330 | INFO | TestCaseName: test_checkout_0002 | TestCaseID: TC_PAY_0002 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,346 | INFO | TestCaseName: test_checkout_0004 | TestCaseID: TC_PAY_0004 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,346 | INFO | TestCaseName: test_checkout_0005 | TestCaseID: TC_PAY_0005 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,364 | INFO | TestCaseName: test_checkout_0008 | TestCaseID: TC_PAY_0008 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,364 | INFO | TestCaseName: test_checkout_0010 | TestCaseID: TC_PAY_0010 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,364 | INFO | TestCaseName: test_checkout_0011 | TestCaseID: TC_PAY_0011 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,377 | INFO | TestCaseName: test_checkout_0014 | TestCaseID: TC_PAY_0014 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,385 | INFO | TestCaseName: test_checkout_0016 | TestCaseID: TC_PAY_0016 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,393 | INFO | TestCaseName: test_checkout_0017 | TestCaseID: TC_PAY_0017 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,393 | INFO | TestCaseName: test_checkout_0020 | TestCaseID: TC_PAY_0020 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,417 | INFO | TestCaseName: test_checkout_0022 | TestCaseID: TC_PAY_0022 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,418 | INFO | TestCaseName: test_checkout_0023 | TestCaseID: TC_PAY_0023 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,432 | INFO | TestCaseName: test_checkout_0026 | TestCaseID: TC_PAY_0026 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,438 | INFO | TestCaseName: test_checkout_0028 | TestCaseID: TC_PAY_0028 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,438 | INFO | TestCaseName: test_checkout_0029 | TestCaseID: TC_PAY_0029 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,438 | INFO | TestCaseName: test_checkout_0032 | TestCaseID: TC_PAY_0032 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,457 | INFO | TestCaseName: test_checkout_0034 | TestCaseID: TC_PAY_0034 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,464 | INFO | TestCaseName: test_checkout_0035 | TestCaseID: TC_PAY_0035 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,470 | INFO | TestCaseName: test_checkout_0038 | TestCaseID: TC_PAY_0038 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,485 | INFO | TestCaseName: test_checkout_0040 | TestCaseID: TC_PAY_0040 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,485 | INFO | TestCaseName: test_checkout_0041 | TestCaseID: TC_PAY_0041 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,505 | INFO | TestCaseName: test_checkout_0044 | TestCaseID: TC_PAY_0044 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,505 | INFO | TestCaseName: test_checkout_0046 | TestCaseID: TC_PAY_0046 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,505 | INFO | TestCaseName: test_checkout_0047 | TestCaseID: TC_PAY_0047 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,521 | INFO | TestCaseName: test_checkout_0050 | TestCaseID: TC_PAY_0050 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,539 | INFO | TestCaseName: test_checkout_0052 | TestCaseID: TC_PAY_0052 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,540 | INFO | TestCaseName: test_checkout_0053 | TestCaseID: TC_PAY_0053 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,551 | INFO | TestCaseName: test_checkout_0056 | TestCaseID: TC_PAY_0056 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,555 | INFO | TestCaseName: test_checkout_0058 | TestCaseID: TC_PAY_0058 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,564 | INFO | TestCaseName: test_checkout_0059 | TestCaseID: TC_PAY_0059 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,571 | INFO | TestCaseName: test_checkout_0062 | TestCaseID: TC_PAY_0062 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,583 | INFO | TestCaseName: test_checkout_0064 | TestCaseID: TC_PAY_0064 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,583 | INFO | TestCaseName: test_checkout_0065 | TestCaseID: TC_PAY_0065 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,598 | INFO | TestCaseName: test_checkout_0068 | TestCaseID: TC_PAY_0068 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,598 | INFO | TestCaseName: test_checkout_0070 | TestCaseID: TC_PAY_0070 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,598 | INFO | TestCaseName: test_checkout_0071 | TestCaseID: TC_PAY_0071 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,614 | INFO | TestCaseName: test_checkout_0074 | TestCaseID: TC_PAY_0074 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,630 | INFO | TestCaseName: test_checkout_0076 | TestCaseID: TC_PAY_0076 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
2026-02-12 11:27:51,630 | INFO | TestCaseName: test_checkout_0077 | TestCaseID: TC_PAY_0077 | Module: module_checkout | Status: PASSED | FilePath: tests/module_checkout/test_checkout.py
